use_static_covariates,use_covariates,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,473.3150579185757,515.5742776447314,489.3468006820075,492.7453787484382,17.41882435032275,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,474.9139443200749,512.558258277801,488.91121589962506,492.1278061658336,15.535624288335143,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,471.73086617555185,513.2011605841317,489.32815844960436,491.4200617364293,16.99467316748876,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,432.84205929820916,629.3311072209497,467.4428499843815,509.8720055011801,85.64329674799527,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,430.0314041024573,628.9572325333195,480.95138002394833,513.313338886575,84.37354873930558,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,440.4408664358601,564.1470166076635,480.23005089025406,494.9393113112592,51.56274271333201,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,521.458029727197,472.6549057684298,515.431022620783,503.18131937213656,21.725218054810902,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,507.35115316534774,422.9456273427739,532.5838398063307,487.62687343815077,46.8822625742298,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,569.3579518950438,520.8034512963347,523.8682735058309,538.0098922324032,22.201710403379803,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,461.22241188567256,638.548532902957,468.11559024885474,522.6288450124947,82.01589076698613,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,489.4114197209496,644.0674036859642,468.52303402228245,534.0006191430654,78.29475912210962,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,457.35481114639737,658.389489275302,465.49733873906706,527.0805463869222,92.90893050274984,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,547.6367166024572,684.7757024416909,540.8525191326531,591.0883127256003,66.30485943824573,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,503.2782448719284,626.372158215327,569.4015021084964,566.3506350652506,50.29916313309597,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,556.4882084287798,598.8449193044564,523.2709647022074,559.5346974784812,30.92805064665584,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,517.0051525406082,394.0530056486881,503.58897789983337,471.5490453630432,55.071018173836954,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,484.39651525406083,394.26059089962513,453.31863286130783,443.99191300499797,37.38414987010496,False,
False,True,True,linear,8,32,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,517.8794192523949,422.7356661286964,483.9649359641816,474.8600071150909,39.372225714972174,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,422.2381631351521,483.0675027332362,473.5104524156601,459.60537276134954,26.709119155940027,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,422.7173188254894,479.6606179716784,482.0684848760934,461.4821405577538,27.428488944988324,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,423.43797779571014,481.4219146970012,477.85611854435655,460.90533701235603,26.53338752782282,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,531.3079174042066,408.34455812682216,442.9149219075385,460.8557991461891,51.777750937791986,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,529.1904517648896,406.4446199500208,460.24430367555186,465.2931251301541,50.2377862804573,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,541.7304239119117,407.6293192940442,444.3610904310704,464.5736112123421,56.58142252355192,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,545.7501133642232,711.925813202832,497.70161247917537,585.1258463487435,91.78176400198305,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,692.5892538265306,583.8017676228656,498.3160850947521,591.5690355147161,79.501630424159,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,603.7795209027489,703.804418211162,577.4680466472303,628.3506619203804,54.42441500629537,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,647.7563369429405,433.0520067159517,558.2043293159101,546.3375576582674,88.05340257190875,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,644.1317024156602,443.5641292690546,556.0897400822574,547.9285239223241,82.08447655266136,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,628.9290229331529,439.8035071324448,568.915784959392,545.8827716749965,78.90925149579661,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,696.9443122657225,479.7361968971262,434.68525718450644,537.121922115785,114.49830882936405,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,713.6375620835069,512.5662747292795,425.4438516503541,550.5492294877135,120.68121180046464,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,648.0431105528945,471.59149742294875,449.98653764056644,523.2070485388032,88.7119885028291,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,512.695158788005,619.550316274469,523.0358673469387,551.7604474698041,48.120212647011755,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,479.8559462203248,643.632127759267,497.3438116930446,540.2772952242121,73.43079470249481,False,
False,True,True,linear,8,32,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,535.08846795606,551.618927920658,561.3021491045398,549.3365149937526,10.822702263151005,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,435.78142232403167,516.2888594596002,520.8028053415244,490.9576957083854,39.059013345577,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,427.9963264004582,517.8716256247397,519.119257991462,488.3290700055533,42.66473258496007,False,
False,True,True,linear,8,32,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,437.0324578300709,516.0821770876718,525.3741211995002,492.82958537241433,39.63647005664303,False,
